Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;DLAND;Bundesländer;11;Berlin;ALT103;Altersjahre;ALT000;unter 1 Jahr;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;13477
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;DLAND;Bundesländer;11;Berlin;ALT103;Altersjahre;ALT000;unter 1 Jahr;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;13071
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;DLAND;Bundesländer;11;Berlin;ALT103;Altersjahre;ALT000;unter 1 Jahr;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;;Insgesamt;26548
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;DLAND;Bundesländer;11;Berlin;ALT103;Altersjahre;ALT000;unter 1 Jahr;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;1577
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;DLAND;Bundesländer;11;Berlin;ALT103;Altersjahre;ALT000;unter 1 Jahr;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;1361
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;DLAND;Bundesländer;11;Berlin;ALT103;Altersjahre;ALT000;unter 1 Jahr;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;;Insgesamt;2938
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;DLAND;Bundesländer;11;Berlin;ALT103;Altersjahre;ALT000;unter 1 Jahr;NAT;Nationalität;;Insgesamt;GES;Geschlecht;GESM;männlich;15054
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;DLAND;Bundesländer;11;Berlin;ALT103;Altersjahre;ALT000;unter 1 Jahr;NAT;Nationalität;;Insgesamt;GES;Geschlecht;GESW;weiblich;14432
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;DLAND;Bundesländer;11;Berlin;ALT103;Altersjahre;ALT000;unter 1 Jahr;NAT;Nationalität;;Insgesamt;GES;Geschlecht;;Insgesamt;29486
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;DLAND;Bundesländer;11;Berlin;ALT103;Altersjahre;ALT001;1-Jährige;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;12122
